City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Souillac,MU,-20.5167,57.5167,70.18,78,40,13.8,scattered clouds
80,Kahului,US,20.8947,-156.47,91.42,44,40,19.57,scattered clouds
81,Avarua,CK,-21.2078,-159.775,78.85,73,20,16.11,few clouds
82,Luderitz,NA,-26.6481,15.1594,57.74,75,16,13.49,few clouds
83,Harper,LR,4.375,-7.7169,76.32,85,87,8.59,light rain
84,Hilo,US,19.7297,-155.09,88.29,69,20,10.36,few clouds
85,Talnakh,RU,69.4865,88.3972,36.21,98,100,12.06,moderate rain
86,Agadez,NE,19.75,10.25,90.36,31,7,11.12,clear sky
87,Bougouni,ML,11.417,-7.479,70.72,95,78,3.91,light rain
88,Cherskiy,RU,68.75,161.3,33.46,66,100,13.15,overcast clouds
89,Zwedru,LR,6.0667,-8.1281,70.68,99,100,2.51,overcast clouds
90,Nampula,MZ,-15.1165,39.2666,63.05,83,4,3.98,clear sky
91,Torbay,CA,47.6666,-52.7314,56.26,84,75,12.66,broken clouds
92,Port Elizabeth,ZA,-33.918,25.5701,59.31,91,0,11.5,clear sky
93,Ayan,RU,56.45,138.1667,48.99,70,97,5.57,overcast clouds
94,Lebu,CL,-37.6167,-73.65,46.81,66,93,12.03,overcast clouds
95,Cabo San Lucas,MX,22.8909,-109.9124,92.5,55,20,8.05,few clouds
96,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,11,18.41,few clouds
97,Bluff,NZ,-46.6,168.3333,46.8,68,100,8.95,moderate rain
98,Vila Velha,BR,-20.3297,-40.2925,66.15,79,75,11.5,broken clouds
99,Khatanga,RU,71.9667,102.5,24.48,90,20,3.24,few clouds
100,Bambous Virieux,MU,-20.3428,57.7575,71.22,78,40,13.8,light rain
101,Severo-Kurilsk,RU,50.6789,156.125,51.55,75,12,4.94,few clouds
102,Lowestoft,GB,52.4752,1.7516,52.41,85,73,12.24,broken clouds
103,Monkey Bay,MW,-14.0728,34.9201,75.74,54,97,3.02,overcast clouds
104,Tiksi,RU,71.6872,128.8694,33.44,92,95,9.26,overcast clouds
105,Puerto Ayora,EC,-0.7393,-90.3518,71.56,86,37,3.0,scattered clouds
106,Sambava,MG,-14.2667,50.1667,66.69,87,86,8.34,light rain
107,Yulara,AU,-25.2406,130.9889,56.7,32,0,8.7,clear sky
108,Atbasar,KZ,51.8,68.3333,47.68,46,10,7.83,clear sky
109,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,94,75,6.78,broken clouds
110,Tasiilaq,GL,65.6145,-37.6368,41.16,95,100,16.44,light rain
111,Qaanaaq,GL,77.484,-69.3632,27.55,63,0,6.96,clear sky
112,Urdoma,RU,61.7533,48.5442,44.56,98,72,6.91,broken clouds
113,Provideniya,RU,64.3833,-173.3,45.01,91,100,11.68,light rain
114,Florence,IT,43.7667,11.25,57.88,89,0,2.3,clear sky
115,Rio Gallegos,AR,-51.6226,-69.2181,46.45,39,0,21.85,clear sky
116,Lukiv,UA,51.0521,25.4006,51.19,73,100,3.47,overcast clouds
117,Guanica,PR,17.9716,-66.908,86.97,76,100,12.1,light rain
118,Mar Del Plata,AR,-38.0023,-57.5575,58.08,91,100,25.01,light rain
119,Chapais,CA,49.7834,-74.8492,55.18,50,100,4.09,overcast clouds
120,Nanortalik,GL,60.1432,-45.2371,46.42,79,87,8.28,overcast clouds
121,Port Macquarie,AU,-31.4333,152.9167,59.9,53,53,7.81,broken clouds
122,Lavrentiya,RU,65.5833,-171.0,45.18,86,100,18.5,light rain
123,Ariquemes,BR,-9.9133,-63.0408,90.39,38,95,5.03,overcast clouds
124,Yellowknife,CA,62.456,-114.3525,54.12,62,20,6.91,few clouds
125,San Matias,BO,-16.3667,-58.4,89.74,26,1,3.38,clear sky
126,Moyale,KE,3.5167,39.0584,69.85,46,2,10.18,clear sky
127,Starkville,US,33.4504,-88.8184,85.87,51,0,4.61,clear sky
128,San Quintin,MX,30.4833,-115.95,72.3,66,0,15.19,clear sky
129,Coolum Beach,AU,-26.5333,153.1,72.1,51,1,4.9,clear sky
130,Ribeira Grande,PT,38.5167,-28.7,74.61,91,100,6.78,overcast clouds
131,Port Hedland,AU,-20.3167,118.5667,60.85,72,0,5.75,clear sky
132,Ponta Do Sol,PT,32.6667,-17.1,75.83,84,44,9.31,scattered clouds
133,Cidreira,BR,-30.1811,-50.2056,61.59,76,3,18.79,clear sky
134,Tanout,NE,14.9709,8.8879,82.02,55,72,11.77,broken clouds
135,Bendigo,AU,-36.7667,144.2833,48.63,87,100,11.01,overcast clouds
136,Meulaboh,ID,4.1363,96.1285,74.68,88,99,3.53,light rain
137,Hermanus,ZA,-34.4187,19.2345,51.8,73,100,5.01,overcast clouds
138,Faanui,PF,-16.4833,-151.75,78.22,67,4,19.01,clear sky
139,Kenai,US,60.5544,-151.2583,57.29,72,0,27.63,clear sky
140,Husavik,IS,66.0449,-17.3389,44.24,74,72,5.73,broken clouds
141,Sinnamary,GF,5.3833,-52.95,80.51,84,8,12.35,clear sky
142,Georgetown,MY,5.4112,100.3354,77.95,95,20,9.22,few clouds
143,Laguna,US,38.421,-121.4238,82.15,43,0,13.8,clear sky
144,Saskylakh,RU,71.9167,114.0833,32.65,96,100,13.69,overcast clouds
145,San Patricio,US,28.017,-97.5169,91.49,54,31,13.69,scattered clouds
146,Kirchen,DE,50.8,7.8833,50.95,94,100,13.8,overcast clouds
147,Vaitape,PF,-16.5167,-151.75,78.15,69,3,18.39,clear sky
148,Pisco,PE,-13.7,-76.2167,64.45,72,0,17.27,clear sky
149,Haines Junction,CA,60.7522,-137.5108,57.15,41,84,4.61,broken clouds
150,Half Moon Bay,US,37.4636,-122.4286,76.78,73,100,17.27,mist
151,Jiayuguan,CN,39.8167,98.3,60.22,36,83,5.57,broken clouds
152,Elat,IL,29.5581,34.9482,82.24,57,0,9.22,clear sky
153,Mehamn,NO,71.0357,27.8492,44.55,93,75,17.27,drizzle rain
154,Glenwood Springs,US,39.5505,-107.3248,79.41,38,75,11.5,broken clouds
155,Suntar,RU,62.1444,117.6319,30.4,85,19,8.7,few clouds
156,Marawi,PH,7.9986,124.2928,72.77,80,74,3.51,broken clouds
157,Saint George,US,37.1041,-113.5841,90.63,18,0,20.71,clear sky
158,Lata,PT,40.1629,-8.3327,69.93,69,60,3.94,broken clouds
159,Springbok,ZA,-29.6643,17.8865,50.04,73,100,2.98,overcast clouds
160,Portland,US,45.5234,-122.6762,73.58,50,100,11.5,overcast clouds
161,Shepsi,RU,44.0361,39.1489,76.71,55,89,4.27,overcast clouds
162,Dikson,RU,73.5069,80.5464,31.59,78,23,12.71,few clouds
163,Bejar,ES,40.3864,-5.7634,68.58,41,61,5.61,broken clouds
164,Palma Del Rio,ES,37.7002,-5.2812,77.32,54,9,3.91,clear sky
165,Pavilosta,LV,56.8879,21.1859,57.11,81,100,8.28,overcast clouds
166,Nagato,JP,34.3833,131.2,79.09,82,99,14.41,overcast clouds
167,Kabanjahe,ID,3.1001,98.4908,62.1,97,99,4.25,overcast clouds
168,Caraquet,CA,47.7941,-64.9386,57.74,52,25,13.2,scattered clouds
169,Tamano,JP,34.4833,133.95,81.01,78,100,20.36,overcast clouds
170,Najran,SA,17.4924,44.1277,81.25,26,92,3.18,overcast clouds
171,Goderich,CA,43.7501,-81.7165,81.91,60,48,10.36,scattered clouds
172,Minbu,MM,20.1833,94.8833,75.76,94,99,5.64,overcast clouds
173,Touros,BR,-5.1989,-35.4608,77.04,77,27,12.71,scattered clouds
174,Saldanha,ZA,-33.0117,17.9442,51.85,70,100,16.46,overcast clouds
175,Axim,GH,4.8699,-2.2405,74.77,92,98,7.23,overcast clouds
176,Sitka,US,57.0531,-135.33,57.09,82,20,6.91,few clouds
177,Hithadhoo,MV,-0.6,73.0833,81.32,73,11,4.65,few clouds
178,Hay River,CA,60.8156,-115.7999,57.16,62,40,5.75,scattered clouds
179,Omsukchan,RU,62.5333,155.8,33.87,67,7,1.81,clear sky
180,Aksu,CN,41.1231,80.2644,70.14,35,99,6.02,overcast clouds
181,Arroyo,ES,41.6096,-4.7969,62.08,51,0,3.44,clear sky
182,Thompson,CA,55.7435,-97.8558,66.36,52,75,6.91,broken clouds
183,Namatanai,PG,-3.6667,152.4333,84.56,61,36,3.71,scattered clouds
184,Port Lincoln,AU,-34.7333,135.8667,55.22,71,100,16.06,overcast clouds
185,Tuatapere,NZ,-46.1333,167.6833,56.95,56,63,5.41,light rain
186,Paamiut,GL,61.994,-49.6678,46.63,94,100,5.75,overcast clouds
187,Kloulklubed,PW,7.0419,134.2556,79.3,64,92,2.77,overcast clouds
188,Berlevag,NO,70.8578,29.0864,44.6,93,100,24.16,light intensity drizzle
189,Atuona,PF,-9.8,-139.0333,77.07,74,8,19.66,clear sky
190,Coripata,BO,-16.3,-67.6,65.66,79,79,1.63,broken clouds
191,Tabou,CI,4.423,-7.3528,76.03,87,90,6.67,light rain
192,Ilulissat,GL,69.2167,-51.1,40.28,95,100,2.24,light rain
193,Lagoa,PT,39.05,-27.9833,73.22,92,91,8.88,overcast clouds
194,Zunyi,CN,27.6867,106.9072,70.66,82,70,3.04,broken clouds
