City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kargopol,RU,2022-09-17 01:17:02,61.5071,38.9456,50.23,97,100,7.81
68,Ahipara,NZ,2022-09-17 01:17:02,-35.1667,173.1667,58.98,51,65,5.86
69,Bathsheba,BB,2022-09-17 01:17:03,13.2167,-59.5167,84.81,79,20,17.27
70,Tucuman,AR,2022-09-17 01:17:03,-26.8241,-65.2226,57.2,51,100,6.91
71,Husavik,IS,2022-09-17 01:17:03,66.0449,-17.3389,43.11,90,100,5.84
72,Upernavik,GL,2022-09-17 01:17:04,72.7868,-56.1549,34.86,89,9,14.81
73,Katsuura,JP,2022-09-17 01:17:04,35.1333,140.3,82.06,65,100,10.38
74,Rodrigues Alves,BR,2022-09-17 01:17:05,-7.738,-72.6509,70.59,79,33,1.7
75,Luderitz,NA,2022-09-17 01:17:05,-26.6481,15.1594,62.01,74,97,8.23
76,Caravelas,BR,2022-09-17 01:17:05,-17.7125,-39.2481,71.37,91,0,5.5
77,Mizdah,LY,2022-09-17 01:17:06,31.4451,12.9801,71.11,59,0,5.86
78,Tuktoyaktuk,CA,2022-09-17 01:17:06,69.4541,-133.0374,41.0,81,100,4.61
79,Brae,GB,2022-09-17 01:17:07,60.3964,-1.353,48.9,69,100,20.85
80,Puerto Ayora,EC,2022-09-17 01:17:07,-0.7393,-90.3518,65.55,94,29,1.99
81,Khasan,RU,2022-09-17 01:17:07,42.4308,130.6434,66.34,90,100,3.2
82,Ribeirao Branco,BR,2022-09-17 01:17:08,-24.2208,-48.7656,51.73,89,100,10.09
83,Naron,ES,2022-09-17 01:17:08,43.5167,-8.1528,63.01,80,100,12.1
84,Kapaa,US,2022-09-17 01:17:08,22.0752,-159.319,84.18,73,100,6.91
85,Kavieng,PG,2022-09-17 01:17:09,-2.5744,150.7967,85.78,61,24,11.95
86,Bud,US,2022-09-17 01:17:09,39.447,-86.1758,73.24,82,67,5.23
87,Chabahar,IR,2022-09-17 01:17:10,25.2919,60.643,81.0,84,0,4.61
88,Luwuk,ID,2022-09-17 01:17:10,-0.9516,122.7875,83.37,66,100,4.88
89,Bolhrad,UA,2022-09-17 01:17:10,45.6826,28.6149,66.33,84,6,8.01
90,Terrace,CA,2022-09-17 01:15:52,54.5163,-128.6035,57.11,67,75,8.05
91,Severnoye,RU,2022-09-17 01:17:11,56.3491,78.3619,49.26,72,96,1.97
92,Iralaya,HN,2022-09-17 01:17:11,15.0,-83.2333,80.37,86,100,8.86
